Title,Content,Category (optional),URL (optional),Article ID (optional)
Where can I park at the hospital and how much does it cost?,"<div>
<p>Here is the information for patient and visitor car parking at the <strong>Royal Casterbridge Hospital</strong>.</p>
<p>We have several car parks for patients and visitors. All use an <strong>Automatic Number Plate Recognition (ANPR)</strong> system. <span>This means a camera records your number plate on entry.<sup></sup></span> You must pay at a pay station before you return to your car.</p>

<h3>Parking Locations</h3>
<ul>
<li>
<p><strong>Car Park A (Main Entrance):</strong> This is our largest car park, located directly opposite the main hospital entrance. It is for patients and visitors.</p>
</li>
<li>
<p><strong>Car Park C (Outpatients):</strong> This car park is for the Outpatients Centre, Dermatology, and the Eye Clinic.</p>
</li>
<li>
<p><strong>Car Park D (Emergency Dept / A&amp;E):</strong> This car park has a 20-minute drop-off/pick-up zone. It is intended for <strong>A&amp;E patients and visitors only</strong>.</p>
</li>
</ul>
<h3>Parking Charges</h3>
<p>Parking charges apply 24/7. You can pay by card or cash at the pay stations located at the exits of Car Parks A and C.</p>
<ul>
<li>
<p><strong>Up to 30 minutes:</strong> Free (for pick-up and drop-off)</p>
</li>
<li>
<p><strong>Up to 1 hour:</strong> £2.50</p>
</li>
<li>
<p><strong>Up to 2 hours:</strong> £4.00</p>
</li>
<li>
<p><strong>Up to 4 hours:</strong> £6.00</p>
</li>
<li>
<p><strong>Up to 6 hours:</strong> £8.00</p>
</li>
<li>
<p><strong>6 to 24 hours:</strong> £10.00</p>
</li>
<li>
<p><strong>7-day ticket:</strong> £25.00 (This can be purchased from the main reception desk)</p>
</li>
</ul>
<h3>Free Parking &amp; Concessions</h3>
<p>We offer free parking for certain patient and visitor groups. <strong>You must register your vehicle to receive free parking.</strong></p>
<p><strong>Who is eligible for free parking?</strong></p>
<ul>
<li>
<p><strong>Blue Badge Holders:</strong> All Blue Badge holders can park for free in designated disabled bays or any standard bay.</p>
</li>
<li>
<p><strong><span>Frequent Outpatient Attenders:</span></strong><span> Patients who attend hospital for an appointment at least 3 times within a month, for at least 3 consecutive months.<sup></sup></span></p>
</li>
<li>
<p><strong><span>Parents of Sick Children:</span></strong><span> Parents or guardians of a child who is an inpatient and staying overnight (one vehicle per family)<sup></sup></span></p>
</li>
<li>
<p><strong>Patients attending for Cancer or Renal Treatment:</strong> Free parking is provided for patients attending for chemotherapy, radiotherapy, or renal dialysis.</p>
</li>
<li>
<p><strong>End-of-Life Care:</strong> The next of kin for patients receiving end-of-life care.</p>
</li>
</ul>
<p><strong>How to claim your concession:</strong></p>
<ul>
<li>
<p><strong>Blue Badge Holders:</strong> On your first visit, please take your <strong>Blue Badge</strong> and <strong>vehicle registration</strong> to the Main Reception desk. We will register your car on our system for the duration of your badge's validity.</p>
</li>
<li>
<p><strong>All Other Concessions:</strong> Please speak to the staff on the ward or in the department you are visiting. They will provide you with a form or validate your parking internally.</p>
</li>
</ul>
</div>",Patient & Visitor Information > Getting to the Hospital > Car Parking,,
Can I get my stitches wet in the bath or shower?,"<section>
<p>You should try to keep your stitches and any non-waterproof dressing dry for at least 48 hours after surgery.</p>
</section>
<section>
<h2>When can I have a bath or shower after surgery?</h2>
<p>You may be advised to wait 48 hours before showering and/or hair washing. A doctor or nurse will give you advice about this. Here is some general advice to follow:</p>
<ul>
<li>showering is preferable to bathing</li>
<li>some waterproof dressings can be left in place in the shower</li>
<li>do not put any bathing products, such as soap or shower gel, directly onto the wound</li>
<li>do not worry if you splash the wound, but do not rub the area as this may cause pain and delay the healing process</li>
</ul>
<p>Pat the wound gently with a clean towel after showering.</p>
</section>
<section>
<h2>Dressings</h2>
<p>If you have a dressing over your stitches, avoid getting it wet.</p>
<p>Some dressings are waterproof, so you could wet your dressing lightly – for example, with the spray from a shower. However, you should not submerge your dressing under water. If you're not sure whether your dressing is waterproof, avoid getting it wet.</p>
<p>Do not remove the dressing unless you're advised to do so by a healthcare professional.</p>
<p>For more information, read our common health question: <a href=""https://www.nhs.uk/common-health-questions/operations-tests-and-procedures/is-it-better-to-have-a-bath-or-shower-after-surgery/"">Is it better to have a bath or shower after surgery?</a></p>
</section>
<section>
<h2>Keeping stitches dry</h2>
<p>If you have been advised to keep your stitches dry, you could:</p>
<ul>
<li>cover your stitches when you have a shower, with a waterproof dressing – you may be able to use a rubber glove or plastic bag if they will cover your wound</li>
<li>have a wash standing in a bath tub, using a cloth to clean yourself and avoiding your stitches</li>
</ul>
<p>Dab your stitches dry with a clean towel after washing, even if the wound area did not get wet, to ensure the area is completely dry.</p>
<p>If your stitches get wet accidentally, simply dry the area immediately with a clean towel and make sure all the moisture around the stitches is soaked up.</p>
<p>After you've had stitches, you should be given some aftercare advice and contact details in case you're worried or have any questions. You could also call <a href=""https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-use-111/"">NHS 111</a> or a GP for advice if you do not have this information.</p>
<p>Read the answers to more <a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/"">questions about accidents, first aid and treatments</a>.</p>
</section>
<section>
<h2>Further information</h2>
<ul>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-long-will-my-stitches-sutures-take-to-dissolve/"">How long will my stitches take to dissolve?</a></li>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-should-i-care-for-my-stitches/"">How should I care for my stitches?</a></li>
<li><a href=""https://www.nhs.uk/conditions/scars/"">Scars</a></li>
</ul>
</section>",Post-Operative Care,https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/can-i-get-my-stitches-sutures-wet-in-the-bath-or-shower/,0012
Rearranging your Appointment,"<p>Please let us know as soon as possible if you need to rearrange your appointment, or feel unwell before you are due to come into hospital. Call us on 0344 811 8118 and one of our patient care advisors will give you guidance or help you rearrange your appointment.</p>",Before you arrive,,0010
Can I smoke on the Hospital premise?,"<p>We want to provide a safe environment that promotes health and reduces harm from exposure to second hand smoke. All of our sites ,which includes buildings and grounds, are now completely smokefree and we have removed designated smoking areas. We recognise that smoking is personal choice and we do not discriminate against those who choose to do so. However we ask that you help us keep our buildings and grounds smokefree to protect others. We know that many people are giving up smoking by switching to E cigarettes which are less harmful than smoking tobacco and don’t expose others to second hand smoke. The use of e-cigarettes therefore is permitted on our grounds. If you would like support to quit smoking, please visit our dedicated stop smoking section.</p>",Before you arrive,,0009
What catering and food options are there?,"<p>If you are staying in one of our hospitals, you will be provided with breakfast, lunch and an evening meal. If you arrive in between meal times you should be offered a snack box, however please don’t hesitate to ask ward staff for one. We are able to cater for any special dietary requirements, allergies and religious requirements. If possible, please let us know of these requirements in advance or speak to a member of staff when you arrive. Most of our hospitals have either a restaurant or a café where you or your visitors can get hot and cold meals, snacks and refreshments. A snack trolley also comes round most wards during the day. Please ask ward staff for more information.</p>",While you're with us,,0008
Can I use my Phone in the hospital?,"<p>The use of mobile phones is allowed in our hospitals, so long as it isn’t disrupting other patients. Your privacy and dignity are very important to us so we ask all patients, relatives and visitors not to take any photographs or film on these premises. If you have any concerns regarding your own privacy please contact a member of staff immediately. Patients and visitors should also respect the privacy of fellow patients, visitors and our staff when posting on social media and other networking sites.</p>",While you're with us,,0007
What do I do when leaving?,"<p>When you are ready to leave, if possible you should arrange for someone to pick you up and take you home. The ward staff will be able to give you a time you are likely to be discharged.</p>",,,0006
How soon can I go swimming after surgery?,"<section>
<p>It depends on the type of surgery you have had, but you shouldn't go swimming until:</p>
<ul>
<li>your surgeon, GP or physiotherapist has confirmed it's safe for you to do so</li>
<li>your wound has healed (it shouldn't be submerged under water before it's healed) – ask your surgeon how long your wound will take to heal</li>
<li>your wound doesn't cause pain</li>
</ul>
<p>Generally, after your stitches have been removed or have dissolved and your wound has fully healed, you should be able to swim in the sea or a swimming pool. Once a wound has healed, the risk of infection decreases.</p>
<p>Stitches can usually be removed within 3 to 14 days of surgery, although it depends on the type of wound. Absorbable stitches can take longer to dissolve.</p>
<p>You should avoid swimming for longer if you have another condition that increases your risk of infection or delays healing.</p>
<p>You shouldn't swim if you have open wounds. You also shouldn't swim if you're wearing a plaster cast or you have an external fixation device – a metal frame that holds your bones in position – until your surgeon advises that it's safe to do so.</p>
</section>
<section>
<h2>Swimming after different types of surgery</h2>
<p>Depending on the type of surgery, you may need to avoid swimming for some time, even after your wound has healed.</p>
<p>Below are some examples, but you should always check with the healthcare professionals treating you before going swimming:</p>
<ul>
<li><a href=""https://www.nhs.uk/conditions/cornea-transplant/"">cornea transplant</a> – avoid swimming for at least 1 to 3 months and until you're advised that it's safe; wear goggles to protect your eye from an impact injury and don't dive in</li>
<li><a href=""https://www.nhs.uk/conditions/hip-replacement-old/"">hip replacement</a> – you can swim once your wound has healed and you can get into a swimming pool safely (usually at least 6 weeks), but some surgeons advise against breaststroke</li>
<li><a href=""https://www.nhs.uk/conditions/coronary-artery-bypass-graft-cabg/"">coronary artery bypass graft</a> – you can swim after 3 months</li>
<li><a href=""https://www.nhs.uk/conditions/cataract-surgery/"">cataract surgery</a> – you should avoid swimming for 4 to 6 weeks</li>
<li>appendectomy (after having <a href=""https://www.nhs.uk/conditions/appendicitis/"">appendicitis</a>) – you can swim after your stitches have been removed, the wound has healed and you have made a full recovery (usually at least 2 weeks)</li>
</ul>
<h2>Further information</h2>
<ul>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/can-i-get-my-stitches-sutures-wet-in-the-bath-or-shower/"">Can I get stitches (sutures) wet in the bath or shower?</a></li>
<li><a href=""https://www.nhs.uk/common-health-questions/operations-tests-and-procedures/is-it-better-to-have-a-bath-or-shower-after-surgery/"">Is it better to have a bath or shower after surgery?</a></li>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-should-i-care-for-my-stitches/"">How should I care for my stitches (sutures)?</a></li>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-long-will-my-stitches-sutures-take-to-dissolve/"">How long will my stitches (sutures) take to dissolve?</a></li>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-should-i-care-for-my-plaster-cast/"">How should I care for my plaster cast?</a></li>
</ul>
</section>","Operations, tests and procedures",https://www.nhs.uk/common-health-questions/operations-tests-and-procedures/how-soon-can-i-go-swimming-after-surgery/,0005
How should I care for my stitches?,"<section>
<p>If you have stitches, take care to:</p>
<ul>
<li>keep them clean and dry</li>
<li>watch out for any increase in swelling, pain or redness or changes to your usual skin colour</li>
</ul>
<p>This will reduce your risk of developing an infection, or catch it early.</p>
<p>A doctor or nurse should tell you how to care for your wound. If you are unsure what to do, ask your healthcare team for advice.</p>
<p>Find out more about <a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/can-i-get-my-stitches-sutures-wet-in-the-bath-or-shower/"">getting stitches wet</a>.</p>
</section>
<section>
<h2>Protect your stitches</h2>
<p>It's important not to scratch your stitches; even though they're strong, scratching may damage them.</p>
<p>You should avoid contact sports, such as football or hockey, to give your wound the best possible chance to heal.</p>
<p>You should not go swimming until your wound has healed and your stitches have been removed.</p>
<p>For more information, read <a href=""https://www.nhs.uk/common-health-questions/operations-tests-and-procedures/how-soon-can-i-go-swimming-after-surgery/"">How soon can I go swimming after surgery?</a></p>
<p>If your child has stitches, do not let them play with water, mud, sand and paint.</p>
<p>Playing with things like these could cause the wound area to get dirty or sore, or cause an infection.</p>
<p>Children may also be advised to avoid PE at school until their wound has healed.</p>
</section>
<section>
<h2>Signs of infection</h2>
<p>Watch out for any signs of infection near or around the stitches, such as:</p>
<ul>
<li>swelling</li>
<li>increased redness around the wound or changes to your usual skin colour</li>
<li>pus or bleeding from the wound</li>
<li>the wound feeling warm</li>
<li>an unpleasant smell from the wound</li>
<li>increasing pain</li>
<li>a high temperature</li>
<li>swollen glands</li>
</ul>
<p>If you have any of these symptoms, speak to a GP or call <a href=""https://www.nhs.uk/nhs-services/urgent-and-emergency-care-services/when-to-use-111/"">NHS 111</a> for advice. You could also visit an NHS <a href=""https://www.nhs.uk/service-search/other-services/Walk-in%20centre/LocationSearch/663"">walk-in centre</a> or <a href=""https://www.nhs.uk/service-search/other-services/Minor%20injuries%20unit/LocationSearch/551"">minor injuries unit</a>.</p>
</section>
<section>
<h2>Removing stitches</h2>
<p>You will be told if you need to return to a GP or a nurse to have your stitches removed. These are the usual time periods:</p>
<ul>
<li>stitches on your head – you'll need to return after 5 to 7 days</li>
<li>stitches over joints, such as your knees or elbows – you'll need to return after 10 to 14 days</li>
<li>stitches on other parts of your body – you'll need to return after 7 to 10 days</li>
</ul>
<p>Some stitches are designed to dissolve gradually and will disappear on their own. Find out <a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-long-will-my-stitches-sutures-take-to-dissolve/"">how long stitches take to dissolve</a>.</p>
<h2>Further information:</h2>
<ul>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/can-i-get-my-stitches-sutures-wet-in-the-bath-or-shower/"">Can I get my stitches wet in the bath or shower?</a></li>
<li><a href=""https://www.nhs.uk/conditions/first-aid/"">First aid</a></li>
<li><a href=""https://www.nhs.uk/conditions/cuts-and-grazes/"">Cuts and grazes</a></li>
</ul>
</section>",Post-Operative Care,https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-should-i-care-for-my-stitches/,0004
How long will my stitches (sutures) take to dissolve?,"<section>
<p>The time it takes for dissolvable or absorbable stitches to disappear can vary.</p>
<p>Most types should start to dissolve or fall out within a week or two, although it may be a few weeks before they disappear completely. Some may last for several months.</p>
<p>Ask your doctor about the type of stitches you have been given and how long they should take to dissolve.</p>
<p>If your wound has healed and your stitches are bothering you, you might want to consider making an appointment with a GP or practice nurse, who may be able to remove them, rather than waiting for them to dissolve completely.</p>
</section>
<section>
<h2>Further information</h2>
<ul>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-should-i-care-for-my-stitches/"">How do I care for my stitches (sutures)?</a></li>
<li><a href=""https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/can-i-get-my-stitches-sutures-wet-in-the-bath-or-shower/"">Can I get stitches wet in the bath or shower?</a></li>
<li><a href=""https://www.nhs.uk/conditions/cuts-and-grazes/"">Cuts and grazes</a></li>
</ul>
</section>","Accidents, first aid and treatments",https://www.nhs.uk/common-health-questions/accidents-first-aid-and-treatments/how-long-will-my-stitches-sutures-take-to-dissolve/,0003
